Date,Open,High,Low,Close,Prev_Close,Volume
05-03-2008,668,672,636,640.9,669.25,263263
07-03-2008,630,630,577,609.75,640.9,452949
10-03-2008,600,610,508.15,601.15,609.75,235966
11-03-2008,593,635.75,575,623.7,601.15,226830
12-03-2008,640,649.95,591,602.9,623.7,210739
13-03-2008,585,600,562.05,566.3,602.9,165515
14-03-2008,569,577,554.05,561,566.3,157189
17-03-2008,549,549,507,511.45,561,201577
18-03-2008,505,525,490,502.4,511.45,257617
19-03-2008,530,530,495,497.75,502.4,196021
24-03-2008,502,505.9,465,469.2,497.75,542915
25-03-2008,475,505,465.05,497.15,469.2,746747
26-03-2008,502,522,490.25,504.05,497.15,278415
27-03-2008,496.1,521,486,516,504.05,359725
28-03-2008,515,619.2,515,619.2,516,1546339
31-03-2008,625,673.4,570,578.75,619.2,2134980
01-04-2008,585,617,584.75,592.2,578.75,728839
02-04-2008,623.8,633.4,601,608.35,592.2,867551
03-04-2008,611,621.4,592.1,602.3,608.35,780026
04-04-2008,614,614,585,593.2,602.3,386898
07-04-2008,595,605.3,570,593.4,593.2,466172
08-04-2008,625,625,585.1,589.65,593.4,217730
09-04-2008,580.5,623,575.15,597.75,589.65,507422
10-04-2008,615,615,586,608.6,597.75,495019
11-04-2008,610,620,605,610.2,608.6,301522
15-04-2008,605,650,600,642.55,610.2,732463
16-04-2008,657,662,632,637.4,642.55,440549
17-04-2008,648.8,659.4,621.05,626.35,637.4,442496
21-04-2008,640,654.95,633.1,645.15,626.35,257175
22-04-2008,640,673.4,638.15,665.85,645.15,574697
23-04-2008,675,677.9,652.4,666.7,665.85,362552
24-04-2008,668,677.85,658.1,665.25,666.7,255828
25-04-2008,670,718,659.1,712.15,665.25,1510614
28-04-2008,725,741.1,703,736.45,712.15,1072156
29-04-2008,738.25,748,711.1,740.6,736.45,600573
30-04-2008,740,774,715,760.15,740.6,731082
02-05-2008,766.25,788,763.65,766.65,760.15,607475
05-05-2008,681.7,781.7,681.7,754.4,766.65,248543
06-05-2008,730,767.9,725.1,757.9,754.4,418643
07-05-2008,762,774.5,745,768.5,757.9,295381
08-05-2008,760,785,752,781.5,768.5,422630
09-05-2008,770.45,803.75,770,783.75,781.5,657740
12-05-2008,719.2,814.8,719.2,807.55,783.75,1245745
13-05-2008,818.4,827.5,786.15,792.85,807.55,469124
14-05-2008,790,802.25,782,789.2,792.85,168459
